method,prevalence,review_budget,n_reviewed_median,strong_recall_at_budget_mean,strong_recall_at_budget_ci_lo,strong_recall_at_budget_ci_hi,precision_at_budget_mean,fp_tp_at_budget_mean,notes
r4,0.01,0.01,10.0,0.3655,0.1,0.7,0.3655,2.414107142857143,discrete-priority approximation (predicted strong > contradiction > mild > supported)
r4,0.01,0.03,30.0,0.3655,0.1,0.7,0.12183333333333334,9.242321428571428,discrete-priority approximation (predicted strong > contradiction > mild > supported)
r4,0.01,0.05,50.0,0.3655,0.1,0.7,0.0731,16.070535714285715,discrete-priority approximation (predicted strong > contradiction > mild > supported)
r4,0.01,0.1,100.0,0.3655,0.1,0.7,0.03655,33.14107142857143,discrete-priority approximation (predicted strong > contradiction > mild > supported)
r4,0.01,0.2,200.0,0.3655,0.1,0.7,0.018275,67.28214285714286,discrete-priority approximation (predicted strong > contradiction > mild > supported)
r4,0.01,0.3,300.0,0.3655,0.1,0.7,0.012183333333333334,101.42321428571428,discrete-priority approximation (predicted strong > contradiction > mild > supported)
r4,0.01,0.4,400.0,0.3655,0.1,0.7,0.0091375,135.56428571428572,discrete-priority approximation (predicted strong > contradiction > mild > supported)
r4,0.01,0.5,500.0,0.645,0.3,1.0,0.0129,84.10416666666667,discrete-priority approximation (predicted strong > contradiction > mild > supported)
gpt_standard,0.01,0.01,10.0,0.5925,0.3,0.9,0.5925,0.8576587301587302,discrete-priority approximation (predicted strong > contradiction > mild > supported)
gpt_standard,0.01,0.03,30.0,0.5925,0.3,0.9,0.1975,4.57297619047619,discrete-priority approximation (predicted strong > contradiction > mild > supported)
gpt_standard,0.01,0.05,50.0,0.5925,0.3,0.9,0.11850000000000001,8.288293650793651,discrete-priority approximation (predicted strong > contradiction > mild > supported)
gpt_standard,0.01,0.1,100.0,0.837,0.4,1.0,0.0837,11.948611111111111,discrete-priority approximation (predicted strong > contradiction > mild > supported)
gpt_standard,0.01,0.2,200.0,1.0,1.0,1.0,0.05,19.0,discrete-priority approximation (predicted strong > contradiction > mild > supported)
gpt_standard,0.01,0.3,300.0,1.0,1.0,1.0,0.03333333333333333,29.0,discrete-priority approximation (predicted strong > contradiction > mild > supported)
gpt_standard,0.01,0.4,400.0,1.0,1.0,1.0,0.025,39.0,discrete-priority approximation (predicted strong > contradiction > mild > supported)
gpt_standard,0.01,0.5,500.0,1.0,1.0,1.0,0.02,49.0,discrete-priority approximation (predicted strong > contradiction > mild > supported)
gpt_structured,0.01,0.01,10.0,0.5925,0.3,0.9,0.5925,0.8576587301587302,discrete-priority approximation (predicted strong > contradiction > mild > supported)
gpt_structured,0.01,0.03,30.0,0.5925,0.3,0.9,0.1975,4.57297619047619,discrete-priority approximation (predicted strong > contradiction > mild > supported)
gpt_structured,0.01,0.05,50.0,0.5925,0.3,0.9,0.11850000000000001,8.288293650793651,discrete-priority approximation (predicted strong > contradiction > mild > supported)
gpt_structured,0.01,0.1,100.0,0.837,0.4,1.0,0.0837,11.948611111111111,discrete-priority approximation (predicted strong > contradiction > mild > supported)
gpt_structured,0.01,0.2,200.0,1.0,1.0,1.0,0.05,19.0,discrete-priority approximation (predicted strong > contradiction > mild > supported)
gpt_structured,0.01,0.3,300.0,1.0,1.0,1.0,0.03333333333333333,29.0,discrete-priority approximation (predicted strong > contradiction > mild > supported)
gpt_structured,0.01,0.4,400.0,1.0,1.0,1.0,0.025,39.0,discrete-priority approximation (predicted strong > contradiction > mild > supported)
gpt_structured,0.01,0.5,500.0,1.0,1.0,1.0,0.02,49.0,discrete-priority approximation (predicted strong > contradiction > mild > supported)
deepseek,0.01,0.01,10.0,0.2415,0.0,0.6,0.2415,3.787292817679558,discrete-priority approximation (predicted strong > contradiction > mild > supported)
deepseek,0.01,0.03,30.0,0.2415,0.0,0.6,0.0805,13.361878453038674,discrete-priority approximation (predicted strong > contradiction > mild > supported)
